"No","Instruction","Type","Distance","A_Speed","B_Speed","C_Speed","D_Speed","Limit","AddTime_A","AddTime_B","AddTime_C","AddTime_D","Lat","Long"
1,"START in left exit lane of P1 parking basement.  START of OPEN SECTION.","a",0,30,30,30,30,60,0,0,0,0,0,0
2,"Traffic Light. Turn LEFT into old Main Road","a",.02,30,30,30,30,60,0,0,0,0,0,0
3,"Traffic Light Carry Straight On","a",.17,30,30,30,30,60,0,0,0,0,0,0
4,"Traffic Light Carry Straight On","a",.32,30,30,30,30,60,0,0,0,0,0,0
5,"R103 Bothas Hill","a",1.25,30,30,30,30,60,0,0,0,0,0,0
6,"Traffic Light Carry Straight On.  Stay on Old Main road.  Be careful of bad road surface.","a",1.4,30,30,30,30,60,0,0,0,0,0,0
7,"Clement Stott Road.  This is an ideal spot to wait for your time if you are early.","a",4.39,30,30,30,30,60,0,0,0,0,0,0
8,"R103 Drummond  / Valley Trust, SANTA, KwaNyuswa ","a",5.57,30,30,30,30,60,0,0,0,0,0,0
9,"[Restaurant] [View point] 1000 Hills Chefs School .  START of REGULARITY.  Be careful of the uneven road surface.","a",6.33,34,39,44,49,60,0,0,0,0,0,0
10,"Control at No Dumping: Hotline 073 463 3920. Dot on Pole, Dot on Road","v",9.51,34,39,44,49,60,0,0,0,0,29.75912,30.70895
11,"[Conservancy Area] Drummond.  START of OPEN SECTION.  Bad road surface and road works ahead.  Stop and Go's may be in operation.","a",10.91,30,34,37,41,60,0,0,0,0,0,0
12,"Warning - Winding road. 60 km/h","a",11.43,37,41,46,49,60,0,0,0,0,0,0
13,"40 Speed limit.  Beware of rumble strips.","a",18.06,36,36,36,36,40,0,0,0,0,0,0
14,"STOP. T-Junction. Turn RIGHT.  Be careful of uneven road surface.","a",19.57,30,30,30,30,60,0,0,0,0,0,0
15,"Warning - Farm Animals","a",19.68,36,40,44,47,60,0,0,0,0,0,0
16,"60 Speed limit.  Be careful of unmarked speed bumps.","a",24.18,35,40,45,50,60,0,0,0,0,0,0
17,"4-Way Stop. Carry Straight On. Bad Road Surface","a",25.01,30,30,30,30,60,0,0,0,0,0,0
18,"Doornrug Drive.  R103 Camperdown  /  [City Centre] Cato Ridge.  Turn RIGHT to Camperdown","a",26.06,40,45,50,54,60,0,0,0,0,0,0
19,"T-Junction.  Turn LEFT to Camperdown R103.","a",29.38,40,45,50,54,100,0,0,0,0,0,0
20,"STOP. Turn RIGHT and immediately LEFT to Ashburton on the R103","a",30.54,30,30,30,30,60,0,0,0,0,0,0
21,"Bear left on slip road (at Parapak Centre)","a",30.67,30,30,30,30,60,0,0,0,0,0,0
22,"Yield on Road","a",30.72,40,45,50,54,60,0,0,0,0,0,0
23,"[Generic Farming] Instant Turf.","a",33.54,35,40,45,50,60,0,0,0,0,0,0
24,"T-Junction.  STOP.  Turn RIGHT on R603 to Umlaas Road","a",34.23,30,30,30,30,60,0,0,0,0,0,0
25,"R103 Camperdown.  Carry straight on.","a",35.44,30,30,30,30,60,0,0,0,0,0,0
26,"R56 Richmond,R56 Thornville/R103 Ashburton, (N3) Pietermaritzburg.  Carry straight on.","a",36.22,30,30,30,30,80,0,0,0,0,0,0
27,"Constantia Kunsmis. START of REGULARITY.","a",38.06,46,55,64,72,80,0,0,0,0,0,0
28,"D685 Control dot on Pole & Center line.","v",41.02,46,55,64,72,80,0,0,0,0,29.73105,30.44886
29,"Control at start of Armco barrier and drain channel.  Dot on barrier and drain channel","v",46.42,46,55,64,72,80,0,0,0,0,29.745,30.40016
30,"Warning - Speed humps. Be careful of fierce speed bumps.  START of OPEN SECTION","a",47.41,20,20,20,20,80,0,0,0,0,0,0
31,"STOP. T-Junction. Turn RIGHT","a",47.66,25,25,25,25,80,0,0,0,0,0,0
32,"R56, Thornville 1, Pietermaritzburg 17  ","a",47.97,42,49,57,64,80,0,0,0,0,0,0
33,"All Metals Scrapyard  km on left.  START of REGULARITY.","a",48.86,42,49,57,64,80,0,0,0,0,0,0
34,"Diagrammatic sign: Traffic movement affected by obstruction.  250m.  Sign on both sides of road.  Control - Dot on pole and road.","v",50,42,49,57,64,80,0,0,0,0,29.7294,30.37707
35,"Control. Overhead bundle Conductor. Dot on Pole and Road","v",55.49,42,49,57,64,80,0,0,0,0,29.68222,30.38117
36,"60 Speed limit. Start of OPEN SECTION.","a",57.33,30,35,40,45,60,0,0,0,0,0,0
37,"High Accident zone. Slow down.  Be Careful of bad road surface.","a",58.11,35,40,45,50,60,0,0,0,0,0,0
38,"Traffic Light Carry Straight On","a",58.46,35,40,45,50,60,0,0,0,0,0,0
39,"Traffic Light.  Carry straight on.","a",59.6,30,35,40,45,60,0,0,0,0,0,0
40,"Traffic Light","a",60.45,30,30,30,30,60,0,0,0,0,0,0
41,"Traffic light carry straight on.","a",61.04,30,30,30,30,60,0,0,0,0,0,0
42,"Take slip road before traffic light. ( French Rd)","a",61.15,30,30,30,30,60,0,0,0,0,0,0
43,"Traffic light carry straight on through one more traffic light.","a",61.44,30,30,30,30,60,0,0,0,0,0,0
44,"Bridge.","a",62.53,30,30,30,30,60,0,0,0,0,0,0
45,"Traffic light. TURN RIGHT in to Moses Mabhida Rd.","a",63.15,30,30,30,30,60,0,0,0,0,0,0
46,"Entrace to Shell service station.  This is your fuel stop.","a",63.55,0,0,0,0,60,0,0,0,0,0,0
47,"For refueling you have -","a",63.55,0,0,0,0,0,15,20,20,25,0,0
48,"After refueling continue in the same direction as before.","a",63.55,30,30,30,30,0,0,0,0,0,0,0
49,"Traffic light Turn LEFT under Railway line.","a",63.97,30,30,30,30,60,0,0,0,0,0,0
50,"Bear RIGHT into Sherwood.","a",64.59,30,30,30,30,60,0,0,0,0,0,0
51,"Continue STRAIGHT it is now Eugene Marais Rd","a",64.87,30,30,30,30,60,0,0,0,0,0,0
52,"Turn RIGHT into Roy Campbell road .","a",65.41,30,30,30,30,60,0,0,0,0,0,0
53,"STOP T Junction. Turn RIGHT (This is Neville Rd )","a",66.79,30,30,30,30,60,0,0,0,0,0,0
54,"Traffic light.  T-Junction Turn LEFT.  This is Zwartkop Rd","a",67.43,36,36,36,36,40,0,0,0,0,0,0
55,"Warning - General Warning. Potholes.","a",69.14,36,36,36,36,40,0,0,0,0,0,0
56,"60 Speed limit.","a",72.65,35,35,35,35,60,0,0,0,0,0,0
57,"Welcome to  Mbutshane Area Sponsored by Build Africa.  START of REGULARITY","a",76.82,40,45,50,54,60,0,0,0,0,0,0
