No,Instruction,Type,Distance,A_Speed,B_Speed,C_Speed,D_Speed,Limit,AddTime_A,AddTime_B,AddTime_C,AddTime_D,Lat,Long
o,Start under the portal at Newcastle Inn Entrance.  Start of OPEN SECTION.   Bear right and continue around parking lot to Traffic light at Hotel exit.,a,0.00,20,20,20,20,60,0,0,0,0,0.00000,0.00000
o,Traffic light. Turn LEFT into Victoria st.,a,0.22,20,20,20,20,60,0,0,0,0,0.00000,0.00000
o,Bear LEFT before Traffic light.,a,0.30,20,20,20,20,60,0,0,0,0,0.00000,0.00000
o,"Yield, Join Allan st.",a,0.33,20,20,20,20,60,0,0,0,0,0.00000,0.00000
o,70 Speed limit.  [Camera],a,0.40,30,30,30,30,70,0,0,0,0,0.00000,0.00000
o,Traffic light.  Carry straight on.,a,1.71,30,30,30,30,70,0,0,0,0,0.00000,0.00000
o,70 Speed limit.,a,2.38,35,35,35,35,70,0,0,0,0,0.00000,0.00000
d,Traffic light.  Carry straight on.,a,3.12,35,39,42,45,70,0,0,0,0,0.00000,0.00000
o,Warning - Sharp curve {Right}.  Be careful of possible gravel on road.,a,5.36,30,30,30,30,80,0,0,0,0,0.00000,0.00000
o,"Turn LEFT to R34 Utrecht, N11 Volksrust",a,5.86,30,30,30,30,80,0,0,0,0,0.00000,0.00000
d,Danger Plate at Start of Armco barrier.  START of REGULARITY.  SoR on road.,a,6.36,48,56,64,70,80,0,0,0,0,0.00000,0.00000
m,Control.  Telephone pole before culvert before farm entrance. Dot on pole and mark on road.,v,11.26,48,56,64,70,100,0,0,0,0,27.66007,29.96616
m,"Control.  Warning -  Two way traffic.  At sign past Eucalyptus tree.  Woodcraft stall on right.  Dot on pole, mark on road.",v,17.58,48,56,64,70,100,0,0,0,0,27.61043,29.94089
m,"Control at 100 Speed limit. Dot on pole, mark on road.",v,23.25,48,56,64,70,100,0,0,0,0,27.57573,29.90034
u,"Combination Sign:  Warning - General Warning, Warning -  Combined curves.  For 15 km.{  Beware of several rumble strips ahead.  Rumble strips removed 2024}",a,24.30,36,43,50,58,80,0,0,0,0,0.00000,0.00000
m,Control at plinth & control box before farm shop entrance with culvert and thick gate posts.  Dot on box and yellow line.,v,30.94,36,43,50,58,80,0,0,0,0,27.52571,29.86346
u,80 Speed limit.  Start of OPEN SECTION,a,32.35,36,43,50,58,80,0,0,0,0,0.00000,0.00000
d,Overhead power lines.   {Max speed D = 54},a,41.74,40,45,50,54,60,0,0,0,0,0.00000,0.00000
