No,Instruction,Type,Distance,A_Speed,B_Speed,C_Speed,D_Speed,Limit,AddTime_A,AddTime_B,AddTime_C,AddTime_D,Lat,Long
o,START in left exit lane of P1 parking basement.  START of OPEN SECTION.,a,0.00,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic Light. Turn LEFT into old Main Road,a,0.02,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic Light Carry Straight On,a,0.17,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic Light Carry Straight On,a,0.32,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,R103 Bothas Hill,a,1.25,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic Light Carry Straight On.{ 0km Stone}  Stay on Old Main road.,a,1.40,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Clement Stott Road.{ START of REGULARITY.}  This is an ideal spot to wait for your time if you are early.,a,4.39,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,"R103 Drummond {Straight} / Valley Trust, SANTA, KwaNyuswa {Right}",a,5.57,30,30,30,30,60,0,0,0,0,0.00000,0.00000
f,[Restaurant] [View point] 1000 Hills Chefs School {Right}.  START of REGULARITY.,a,6.34,34,39,44,49,60,0,0,0,0,0.00000,0.00000
m,"Control at No Dumping: Hotline 073 463 3920. Dot on Pole, Dot on Road",v,9.51,34,39,44,49,60,0,0,0,0,29.75911,30.70896
f,[Conservancy Area] Drummond.  START of OPEN SECTION.  Bad road surface and road works ahead.,a,10.91,30,34,37,41,60,0,0,0,0,0.00000,0.00000
d,Warning - Winding road. 60 km/h,a,11.44,37,41,46,49,60,0,0,0,0,0.00000,0.00000
o,40 Speed limit.{ No Controls to 'STOP. T-Junction.  Turn RIGHT.'}  Beware of rumble strips.,a,18.07,36,36,36,36,40,0,0,0,0,0.00000,0.00000
o,STOP. T-Junction. Turn RIGHT,a,19.58,30,30,30,30,60,0,0,0,0,0.00000,0.00000
d,Warning - Farm Animals,a,19.68,36,40,44,47,60,0,0,0,0,0.00000,0.00000
m,Warning - Construction Vehicles crossing. Dot on pole and road.,v,23.28,36,40,44,47,60,0,0,0,0,29.72886,30.60784
l,60 Speed limit ,a,24.18,35,40,45,50,60,0,0,0,0,0.00000,0.00000
o,4-Way Stop. Carry Straight On. Bad Road Surface,a,25.02,30,30,30,30,60,0,0,0,0,0.00000,0.00000
d,Doornrug Drive.  R103 Camperdown {Right} / {Left} [City Centre] Cato Ridge.  Turn RIGHT to Camperdown,a,26.07,40,45,50,54,60,0,0,0,0,0.00000,0.00000
d,T-Junction.  Turn LEFT to Camperdown R103.,a,29.39,40,45,50,54,100,0,0,0,0,0.00000,0.00000
o,STOP. Turn RIGHT and immediately LEFT to Ashburton on the R103,a,30.55,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Bear left on slip road (at Parapak Centre),a,30.69,30,30,30,30,60,0,0,0,0,0.00000,0.00000
d,Yield on Road,a,30.73,40,45,50,54,60,0,0,0,0,0.00000,0.00000
l,[Generic Farming] Instant Turf.{  START of REGULARITY.},a,33.55,35,40,45,50,60,0,0,0,0,0.00000,0.00000
o,T-Junction.  STOP.  Turn RIGHT on R603 to Umlaas Road,a,34.24,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,R103 Camperdown{ Right}.  Follow road to the LEFT.,a,35.43,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,R56 Richmond,a,36.09,30,30,30,30,100,0,0,0,0,0.00000,0.00000
f,Constantia Kunsmis.{ Centre of Entrance} START of REGULARITY.,a,38.07,46,55,64,72,100,0,0,0,0,0.00000,0.00000
m,D685 Control dot on Pole & Center line.,v,41.03,46,55,64,72,100,0,0,0,0,29.73105,30.44885
m,Control at start of Armco barrier and drain channel.  Dot on barrier and drain channel,v,46.44,46,55,64,72,100,0,0,0,0,29.74499,30.40015
o,"Warning - Speed humps. Be careful of fierce speed bumps.{  No Controls will operate up to 'R56, Thornville 1, Pietermaritzburg 17'.}  START of OPEN SECTION",a,47.43,25,25,25,25,80,0,0,0,0,0.00000,0.00000
o,Warning - Stop.  100m. Bear RIGHT to T-Junction,a,47.57,20,20,20,20,80,0,0,0,0,0.00000,0.00000
o,STOP. T-Junction. Turn RIGHT {0km Stone},a,47.67,25,25,25,25,80,0,0,0,0,0.00000,0.00000
f,"R56, Thornville 1, Pietermaritzburg 17  {Note C = 57}",a,47.99,42,49,57,64,80,0,0,0,0,0.00000,0.00000
f,All Metals Scrapyard  km on left.  START of REGULARITY.,a,48.88,42,49,57,64,80,0,0,0,0,0.00000,0.00000
m,Diagramatic sign: Traffic movement affected by obstruction.  250m.  Sign on both sides of road.  Control - Dot on pole and road.,v,50.02,42,49,57,64,80,0,0,0,0,29.72940,30.37707
m,Control. Overhead bundle Conductor. Dot on Pole and Road,v,55.50,42,49,57,64,80,0,0,0,0,29.68222,30.38117
l,60 Speed limit. Start of OPEN SECTION.,a,57.35,30,35,40,45,60,0,0,0,0,0.00000,0.00000
l,Combination sign:  High Accident zone. Slow down.  Be Careful of pot hole before traffic light.,a,58.13,35,40,45,50,60,0,0,0,0,0.00000,0.00000
l,Traffic Light Carry Straight On,a,58.48,35,40,45,50,60,0,0,0,0,0.00000,0.00000
l,Traffic Light.  Carry straight on{ through 2 more traffic lights}.,a,59.62,30,35,40,45,60,0,0,0,0,0.00000,0.00000
o,Traffic Light,a,60.47,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic light carry straight on.,a,61.07,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Take slip road before traffic light. ( French Rd),a,61.16,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic light carry straight on through one more traffic light.,a,61.45,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Bridge.,a,62.54,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic light. TURN RIGHT in to Moses Mabhida Rd. ,a,63.16,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Entrace to Shell service station.  This is your fuel stop. {Moses Mabhida S/S Manager Roanne Krishnan 061 546 1791 mosesmabhidashell@gmail.com PMB Parking for tender vihicles behind service station building.},a,63.56,0,0,0,0,60,0,0,0,0,0.00000,0.00000
t,For refueling you have -,a,63.56,0,0,0,0,0,15,20,20,25,0.00000,0.00000
o,After refueling continue in the same direction as before.,a,63.56,30,30,30,30,0,0,0,0,0,0.00000,0.00000
o,Traffic light Turn LEFT under Railway line.,a,63.98,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Bear RIGHT into Sherwood.,a,64.61,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Continue STRAIGHT it is now Eagene Marais Rd,a,64.88,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Turn RIGHT into Roy Campbell road .,a,65.43,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,STOP T Junction. Turn RIGHT (This is Neville Rd ),a,66.81,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic light.  T-Junction Turn LEFT.  This is Zwartkop Rd,a,67.45,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,40 Speed limit. ,a,69.31,36,36,36,36,40,0,0,0,0,0.00000,0.00000
o,60 Speed limit. ,a,72.68,36,36,36,36,60,0,0,0,0,0.00000,0.00000
d,Welcome to  Mbutshane Area Sponsored by Build Africa.  START of REGULARITY,a,76.85,40,45,50,54,60,0,0,0,0,0.00000,0.00000
m,"Contral @ Gum pole at start of Sumit Rd intersection Marked with Ducktape. 29,56723   30,29152",v,78.59,40,45,50,54,60,0,0,0,0,29.56723,30.29152
o,Diagramatic sign:  Warning Traffic light .200m. START of OPEN SECTION.,a,79.28,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic light Turn LEFT on Cedara R103 Howick .,a,79.49,30,30,30,30,60,0,0,0,0,0.00000,0.00000
l,{Left }B+B Abbots Cove.,a,79.66,35,40,45,50,60,0,0,0,0,0.00000,0.00000
f,Red Posting Box. START of REGULARITY,a,81.29,37,43,49,54,60,0,0,0,0,0.00000,0.00000
